,title,date,keywords,section
118,宁夏“巾帼社区服务工程”造福下岗女工,2002-09-14,"“巾帼社区服务工程”,下岗女工,就业",2  
119,一批“巾帼建功”先进受中直机关表彰,1993-03-03,"“巾帼建功”,中直机关,表彰先进",4  
120,塑造职业妇女新形象,1996-01-17,"妇女,塑造职业,“巾帼建功”",3  
121,爱心呼唤服务 空巢老人乐活（学雷锋志愿服务）,2013-06-18,"爱心呼唤,空巢,志愿服务",6  
122,扎实做好巾帼现代农业科技示范基地创建工作,2012-06-23,"科技,现代农业,基地",3  
123,巾帼竞芳　美丽绽放,2013-10-29,"巾帼竞芳,妇女,代表",2  
124,展六亿巾帼之风采,1995-03-08,"妇女,中国,国际",1  
125,世界女子国际象棋冠军候选人赛开幕,1992-11-01,"冠军候选人赛,第一名,中国国际象棋协会",4  
126,全国第二届巾帼书画展在京举行,1999-08-31,"书画展,民族文化,开幕式",3  
127,国资委、全国妇联表彰央企巾帼建功标兵和文明岗,2006-03-02,"巾帼建功标兵,模范,文化",6  
128,２５万人次农村妇女接受网络培训,2006-10-09,"网络,妇女,农村",10  
129,京剧《安国夫人》颂扬巾帼英雄,2014-05-01,"《安国夫人》,京剧,巾帼英雄",8  
130,确保巾帼脱贫行动取得实效,2016-01-22,"巾帼脱贫行动,妇女,中央决策部署",9  
131,巾帼力士争相赶超世界纪录,1990-05-19,"世界纪录,巾帼力士,创新",3  
132,“巾帼志愿者”改善农居环境,2011-01-04,"环境,“巾帼志愿者”,整治",6  
133,全国妇联表彰１００个“巾帼文明示范岗”,1998-03-07,"“巾帼文明示范岗”,北京蓝岛大厦针纺商场丝绸组,表彰",7  
134,社会体育指导员与巾帼文明健身队结对,2011-05-26,"体育指导员,巾帼文明健身队,社会体育",3  
135,胶园巾帼（劳动者之歌）,2006-04-25,"徐兰香,胶园,国营新中农",2  
136,武警总医院巾帼共谱风采曲,1995-09-05,"武警总医院,技术,半边天",5  
137,体坛巾帼风采摄影大奖赛开始,1995-03-11,"体坛巾帼风采,巾帼风采摄影,摄影大奖赛",8  
138,三十万军队妇女争做贡献,1992-03-06,"妇女,军队建设,解放军总政治部",3  
139,“田头巾帼”议增收,2002-03-04,"“田头巾帼”,农民,浙江代表团",6  
140,全运会女子足球预赛重庆赛区开赛,1987-06-03,"预赛重庆赛区,女子足球预赛,全运会",3  
141,３０位杰出女性获殊荣,2006-06-01,"杰出女性,评选,“新世纪巾帼发明家”",10  
142,巾帼力士成绩达国际水平,1985-12-19,"成绩,国际,举重",3  
143,巾帼现代农业科技示范基地负责人在京座谈,2012-08-29,"现代农业,示范基地,科技",4  
144,巾帼力士参加亚运会选拔赛,1994-07-30,"亚运会,选拔赛,北京红山口八一体工队",3  
145,巾帼系列行动报告会在京举行,1997-03-07,"报告会,代表,“巾帼系列行动”",4  
146,全军“巾帼建功”事迹报告会举行,1992-03-07,"“巾帼建功”,事迹报告会,解放军总参谋部",4  
147,百米长卷《巾帼撷英图》在京展出,1995-08-18,"《巾帼撷英图》,民主革命,开幕式",3  
148,巾帼发明家创新事迹巡回宣讲活动启动,2006-08-01,"巾帼发明家,发明家创新,巡回宣讲活动",4  
149,西点巾帼,1995-02-12,"学生,军队,学校",7  
150,巾帼不让须眉（时政广角）,2004-10-26,"中国,创业,经济",8  
151,"城镇妇女：“巾帼建功”有新进展
农村妇女：“双学双比”创新业绩",1994-05-26,"“巾帼建功”,农村妇女,城镇妇女",3  
152,巾帼双杰　雪上争雄,1987-02-06,"雪上,比赛,金雪飞",3  
153,学时代楷模 做巾帼表率,2012-06-14,"时代楷模,妇女,全国妇联党组",15  
154,商洛巾帼谱写扶贫新篇章,2001-10-07,"济困,妇女儿童,纲要",4  
155,巾帼不让须眉（当日之星）,2006-12-14,"徐莉佳,比赛,第一名",8  
156,十位“新世纪巾帼发明家”在京亮相,2002-04-26,"“新世纪巾帼发明家”,中国发明协会,专利",4  
157,巾帼建功三八红旗手表彰大会召开,2011-03-08,"三八红旗手,表彰,巾帼建功",2  
158,黑龙江“巾帼科技致富工程”正红火,2001-04-03,"“巾帼科技致富工程”,妇女,农村经济",4  
159,“展巾帼风采，建绿色家园”主题造林启动,2007-05-12,"造林,工程,建设",2  
160,“巾帼建功”演讲团在京举行首场报告,1993-03-04,"演说,“巾帼建功”,演讲团",4  
